微博id,发布者,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IwEobbB89,青岛啤酒大哥,青岛啤酒大哥:据香港“东网”报道，香港新冠肺炎疫情蔓延之际，乱港分子、香港“壹传媒”创办人黎智英的次子黎耀恩近日被曝出，他在中环开设的茶餐厅“四季常餐”把客人饮过的冻柠檬茶再给另一位客人饮用，引起大批香港网民痛骂“无良商人”“垃圾肺炎餐厅”！香港食物环境卫生署（食环署）表示，2月29日接获相关投诉，会派工作人员跟进调查 http://t.cn/RDUBkfz 显示地图 原图 ,无,http://t.cn/RDUBkfz,2020-03-01 23:59,华为手机 畅享玩不停,2,0,7
IwEoazRPA,新语新愿_陈新新,新语新愿_陈新新:期待英国很快可以停课，这样我们在家会有很多事情做，做手工，弹钢琴，拉小提琴🎻，打游戏🎮，下象棋，看书，吃零食，还可以在家门口公园晒太阳。英国人都不戴口罩，感觉每天出去都是在“裸奔”。由于学校比较远，我们每天要坐20分钟火车，这才是最让我担忧的#英国新增12名新冠肺炎感染者#  [组图共2张] 原图 ,无,无,2020-03-01 23:59,iPhone 11,4,1,3
IwEo9qEe2,用户6603902166,用户6603902166:关于新冠肺炎康复者捐献恢复期血浆的倡议书 http://t.cn/A67JWYEe  原图 ,无,无,2020-03-01 23:59,学习强国客户端,0,0,0
IwEo8gZe4,spongebob20170,spongebob20170:关于新冠肺炎的最新判断，一图读懂！ http://t.cn/A67xh58Y  原图 ,无,无,2020-03-01 23:59,学习强国客户端,0,0,0
IwEo7ltwt,安徽商报,安徽商报:【98岁患者出院！#全国年龄最大危重症患者出院#，55岁女儿也同时出院】3月1日，湖北武汉。98岁胡婆婆和其55岁女儿从雷神山医院康复出院，胡婆婆是全国最高龄的新冠肺炎危重症康复患者。医生称胡婆婆入院时，有皮肤烫伤、低钾血症、低蛋白血症等并发症，其出院也带给他们很大信心。#新型肺炎抗疫全记录#@一手Video http://t.cn/A67i7SI7 ,无,无,2020-03-01 23:59,HUAWEI Mate 20,0,0,0
IwEo6v7oF,SoCrazyDevil,SoCrazyDevil:关于新冠肺炎康复者捐献恢复期血浆的倡议书 关于新冠肺炎康复者捐献恢复期血浆的倡议书  原图 ,无,无,2020-03-01 23:59,iPhone客户端,0,0,0
IwEo4nxEa,麻辣车事,麻辣车事:【#国际社会关注中国战疫#：中国为世界争取了时间】①联合国秘书长古特雷斯：现在最大的敌人不是病毒，而是恐惧、谣言和歧视；②世界卫生组织总干事谭德塞：无法预测新冠肺炎疫情向什么方向发展，但让我们受到鼓舞的是中国从源头遏制疫情采取的措施为世界争取了时间…更多↓↓ （转载自人民日报）@i尚电动 @段旭的微博 @汽车生活官博 [组图共9张] 原图 ,无,无,2020-03-01 23:59,iPhone 8 Plus,0,1,0
IwEo48XTV,熊newsoul,熊newsoul:教育部党组印发通知 部署统筹做好教育系统新冠肺炎疫情防控和教育改革发展工作 http://t.cn/A67cvVr7  原图 ,无,无,2020-03-01 23:59,学习强国客户端,0,0,0
IwEo45VJz,历下检察,历下检察:#战疫公开课#【直播！一线医务人员讲述“决战ICU”！】面对新冠肺炎重症、危重症病人，如何开展多学科、多手段联合救治？疫情之下，患有基础性疾病的老年人应如何应对？北京医院援武汉医疗队领队王建业在线解答↓↓关注！央视新闻的微博视频  ,无,无,2020-03-01 23:59,微博 weibo.com,7,5,8
IwEo3ubOM,湖北私家车广播,湖北私家车广播:【城管队员治愈出院后再次请战！】#新冠肺炎防控# #抗击新型肺炎进行时# 37岁的汤文欢是武汉市东西湖区径河街城管队的一名队员，新冠肺炎疫情发生后，立即报名参加隔离点的防疫先锋队。他说：“17年前非典时期，我19岁，作为一名军人值守北京小汤山，现在武汉疫情，我更要参加！” 2月19日，汤文欢被检查出感染新冠肺炎，随后根据全区统一安排到东西湖区人民医院治疗。2月27日下午，得知自己2次核酸检测结果为阴性后，汤文欢信心大涨，在微信群里发出若治愈，再上前线的请战誓言。根据身体状况和检查结果，今天下午，汤文欢即将从医院转入另一隔离点进行隔离。http://t.cn/A67JHHoE ,无,无,2020-03-01 23:59,微博 weibo.com,1,0,0
IwEo3xhQ3,腾讯新闻,腾讯新闻:【首例新冠肺炎尸检专家：“我们相当于在核辐射的核心”】主持首例新冠肺炎逝者遗体解剖的刘良教授接受采访，对于病理解剖的意义，他表示，“我们就想抓一个舌头回来，抓回来以后，让各种人去审讯你的番号、你的兵种……需要过封锁线，蹚地雷过去，然后再把人带回来，大家都不过去的话，你永远不知道对方有多少人在那，藏了什么东西在那，所以必须要有人冒险。”从目前的病理结果来看，一些死者的肺部切面上，能看到有黏液性的分泌物，他认为这是临床治疗需要警惕的地方。http://t.cn/A67iBXh1 原图 ,无,无,2020-03-01 23:59,微博 weibo.com,12,5,0
IwEo3xiq5,楚天交通广播,楚天交通广播:【城管队员治愈出院后再次请战！】#新冠肺炎防控# #抗击新型肺炎进行时# 37岁的汤文欢是武汉市东西湖区径河街城管队的一名队员，新冠肺炎疫情发生后，立即报名参加隔离点的防疫先锋队。他说：“17年前非典时期，我19岁，作为一名军人值守北京小汤山，现在武汉疫情，我更要参加！” 2月19日，汤文欢被检查出感染新冠肺炎，随后根据全区统一安排到东西湖区人民医院治疗。2月27日下午，得知自己2次核酸检测结果为阴性后，汤文欢信心大涨，在微信群里发出若治愈，再上前线的请战誓言。根据身体状况和检查结果，今天下午，汤文欢即将从医院转入另一隔离点进行隔离。http://t.cn/A67JHHoE ,无,无,2020-03-01 23:59,微博 weibo.com,15,7,5
IwEo0Away,尤nini小厨房,尤nini小厨房:#英国新增12名新冠肺炎感染者# 打算开始戴口罩通勤..要不还是走去上下班好了 也就一小时 英国·Canary Wharf  显示地图 ,无,#英国新增12名新冠肺炎感染者#,2020-03-01 23:58,👀尤没有iPhone XS,0,0,0
IwEnZourL,石家庄说事儿,石家庄说事儿:#日本网友用中文向中国表示感谢#【中国向日本捐赠5000套防护服和10万只口罩 #日本网友用中文表达感谢#】中国驻日本大使馆官方推特1日早晨发布了关于中国向日本捐赠5000件防护服和10万只口罩的推文，文中这样写道：“为支持、协助日本应对新冠肺炎疫情，在无偿提供检测用试剂盒之后，中国又捐赠了5000件防护服及10万只口罩，其中一部分已于2月27日、28日完成交付。今后我们也将根据日本方面的需求，在力所能及的范围提供支援与帮助，和日本的大家一起共渡难关。”推文发布后引起网友热烈反响，已获得数千转赞。许多日本网友都表达了感谢，甚至有人用中文发表了感谢的评论。http://t.cn/A67iCtEU [组图共9张] 原图 ,无,无,2020-03-01 23:58,OnePlus 7 Pro,0,0,1
IwEnZ7LzA,奶茶色lrig,奶茶色lrig:#英国新增12名新冠肺炎感染者#是时候先囤一波粮了问题来了明天的早课去不去呢🤔 英国·University of Birmingham  显示地图 [组图共2张] 原图 ,无,#英国新增12名新冠肺炎感染者#,2020-03-01 23:58,小贝北鼻的iPhone X,10,0,35
IwEnYep7E,Snscar许微,Snscar许微:新加坡3月1日新增4例确诊新冠肺炎病例，累计确诊106例。（央视新闻）  ,无,无,2020-03-01 23:58,iPad客户端,0,0,0
IwEnXjMXf,一品姑苏城,一品姑苏城:【首尔市长喊话检察总长：逮捕新天地教会会长】近日，韩国新冠肺炎确诊病例数不断增加，其中上千例和新天地教会有关。3月1日，首尔市长朴元淳在社交媒体上发文喊话该教会会长李万熙出来道歉，并表示如果教会方面不采取必要措施，将以过失杀人罪等罪名提起诉讼。此外，朴元淳还要求总检察长逮捕李万熙。http://t.cn/A67iLvzQ [组图共2张] 原图 ,无,无,2020-03-01 23:58,人民日报客户端,0,0,0
IwEnX26Fq,原来是欣悦呀a,原来是欣悦呀a:黄色框框越来越多。南都『记疫：2019-2020抗击新冠肺炎疫情记忆』http://t.cn/A67UTDiL  ,无,无,2020-03-01 23:58,小米9 SE,0,0,0
IwEnOc0oV,全球最搞笑电影排行,全球最搞笑电影排行:韩国的疫情现在很严峻，但韩国老百姓却满不在乎，真是整不了他们#美国出现首例新冠肺炎死亡病例##新冠肺炎病毒几乎人人易感##新冠肺炎全球风险级别调为非常高# 搞笑阳聪的微博视频  ,无,无,2020-03-01 23:58,微博云剪,2,0,0
IwEnNffAA,搞笑段子下载,搞笑段子下载:韩国短道又下黑手！故意撞击武大靖未得手，中国队仍夺金#韩专家称最坏情况是40%国民感染##韩国新增594例新冠肺炎##韩国首次出现患者二次感染##韩国监狱出现首例新冠肺炎# 小椋煮梨的微博视频  ,无,无,2020-03-01 23:58,微博云剪,2,0,0
IwEnMon77,丹妮打酱油,丹妮打酱油:关于新冠肺炎康复者捐献恢复期血浆的倡议书 http://t.cn/A67JWYEe  原图 ,无,无,2020-03-01 23:58,学习强国客户端,0,0,0
IwEnLcT0w,小说搞笑,小说搞笑:韩国的疫情现在很严峻，但韩国老百姓却满不在乎，真是整不了他们#美国出现首例新冠肺炎死亡病例##新冠肺炎病毒几乎人人易感##新冠肺炎全球风险级别调为非常高# 搞笑乙乙的微博视频  ,无,无,2020-03-01 23:58,微博云剪,0,0,0
IwEnKlSil,不知道改啥酷炫的名字鸭,不知道改啥酷炫的名字鸭:今天主动发了语音给X哥太久没有听到他声音了…今天一听，真的好心动💗 …依然好心动…他的神奇魅力好想他鸭，真的好想他好久没见他了，真的好想见他我恨这个新冠肺炎，我恨这次疫情这次疫情，使进展又慢了…唉！讨厌死了！  原图 ,无,无,2020-03-01 23:58,HUAWEI P30 Pro,0,0,0
IwEnK1NyD,我和动漫的日常,我和动漫的日常:#熊本市长# 大西一史先生发推：对不起。想必大家最近都很艰难。我的心情也因如何应对新型冠状病毒而感到高度紧张和沮丧。所以，请允许我发一条内容转化一下心情。新冠肺炎 你这个大笨蛋ーーーーーーー！😭诶？？？画风突变？突然少女心？？？  原图 ,无,无,2020-03-01 23:58,微博 weibo.com,1188,207,75
IwEnJp62K,明明是非主流少女,明明是非主流少女:#英国新增12名新冠肺炎感染者#在线求一个停课，平时倒是说罢工就罢工，这会儿和没事人一样哈  ,无,无,2020-03-01 23:58,HUAWEI Mate 20,8,0,7
IwEnIyfOm,天线大夫,天线大夫:2020年3月1日深圳市新冠肺炎疫情情况截至2月29日24时，深圳累计报告“新冠肺炎”确诊病例417例。2月29日当天全市新增确诊病例0例，新增死亡病例0例，当天出院病例9例。　　累计报告确诊病例中，男性197例、女性220例。　　按照病例管理地区划分，南山区87例、福田区81例、龙岗区71例、宝安区62例、龙华区34例、罗湖区32例、光明区11例、坪山区7例、盐田区6例、大鹏新区2例、其他（指由机场、车站、码头、关口、路卡等直接送往定点医院的）24例。　　目前，重症5例、危重症2例，死亡3例，累计出院308例。　　106例确诊病例均在深圳市第三人民医院隔离治疗。　　61密切接触者正在接受医学观察。另外，据报3月1日确诊新增病例1例，为由英国伦敦飞往香港中转汇深圳的病例，似乎属于国内首例输入性新冠肺炎病例。内忧未除，又添外患！众亲们，要加倍的提神警觉了！ ,无,无,2020-03-01 23:58,360安全浏览器,0,0,0
IwEnIwEqV,小怂ice,小怂ice:#英国新增12名新冠肺炎感染者# 本来还想早点回国这条热搜让我对希思罗机场 感到一丝惶恐回国日期再议吧……  ,无,无,2020-03-01 23:58,vivo X23全息幻彩,6,1,12
IwEnIdWYI,旌羽Lucky,旌羽Lucky:每个图中都有你意想不到的秘密……#新冠肺炎全球风险级别调为非常高##肖战工作室道歉#  [组图共6张] 原图 ,无,无,2020-03-01 23:58,iPhone 11,0,0,0
IwEnHDhzS,播州发布,播州发布:新冠肺炎患者治愈出院后如何锻炼身体？【新型冠状病毒科普知识】（256）新冠肺炎患者治愈出院后如何锻炼身体？【新型冠状病毒科普知识】（256）#播州发布# http://weibo.com/u/6192212658  ,无,无,2020-03-01 23:58,华为手机 畅享玩不停,0,0,0
IwEnH5u1V,价值投资日志,价值投资日志:【德国新增51例新冠肺炎，德国疫情知多少？】德国人自己的定义是“疫情正处于失控的边缘”，为“可能的暴发”做准备。柏林Charité医院病毒学专家Christian Drosten：“德国将有60%至70%的人被感染”，新冠病毒疫情可能在全球范围内持续2年甚至更长。此外韩专家称最坏情况是40%国民感染 ，意大利也有类似声音，理性出发都做了最坏的打算。亥姆霍兹感染研究中心流行病学课负责人Gérard Krause，“目前各国医学专家认为的最有可能发生的情况：新冠病毒会像普通的流感病毒一样，随着季节的更替逐渐得到抑制。”#全球股市一周蒸发6万亿美元##全球抗疫第一线##31省区市新增573例新冠肺炎# 原图 ,无,无,2020-03-01 23:58,iPhone X,22,16,9
IwEnGrdhc,张老七7,张老七7:#每天一幅战“疫”漫画# 这两天大学生郭岳在各大平台刷屏了，他是武汉学院大三的学生，确诊新冠肺炎，但最终未感染一人。他寒假期间从武汉返回河北老家，途中全程佩戴口罩，回家后一直把自己隔离在房间里，出院后又在车库自我隔离了28天。郭岳的硬核自我隔离措施，使身边未出现一例感染人员，治愈出院后，郭岳还积极捐血救人。他说：其实一开始看到血浆捐赠还是有些害怕，而且自己那段时间还有些胸闷，但当接到电话得知有患者急需血浆时，他毫不犹豫就答应了。因为，救人要紧。做好自我隔离也是与病毒战斗，这位理性且硬核的大学生，让我们看到了中国的未来，加油吧我的祖国！ 原图 ,无,无,2020-03-01 23:58,iPhone客户端,1,0,0
IwEnGd3Jw,RachelthePooh,RachelthePooh:#英国新增12名新冠肺炎感染者#不停个课什么的吗？ 英国·伦敦  显示地图 ,无,#英国新增12名新冠肺炎感染者#,2020-03-01 23:58,iPhone客户端,0,0,0
IwEnFiKZl,l燃烧的火焰,l燃烧的火焰:#腾讯新闻# 实时更新：新冠肺炎疫情最新动态31187 来自@腾讯新闻  原图 ,无,无,2020-03-01 23:58,腾讯新闻客户端,0,0,0
IwEnEpksj,大连广播电视台,大连广播电视台:【#每天处理400桶医疗废物的人# 转！让更多人认识他们！】疫情暴发后，武汉北湖云峰环保科技有限公司临危受命，转型处理新冠肺炎医疗废物。工人们每天处置400桶医疗废物，只能用手倒。当记者问，你知道它有多危险吗。工作人员说：“危险怎么办呢？总要有人干！”致敬！via央视新闻（总台央视记者董倩） http://t.cn/A67JQ3Cy ,无,无,2020-03-01 23:58,微博 weibo.com,4,0,0
IwEnEoOTt,新浪湖北,新浪湖北:#万众一心抗击新冠肺炎#【这些特殊场所重点人群，如何抓好疫情防控？】继召开专题会研究部署、实地检查监所和养老机构疫情防控工作后，3月1日下午，省委书记、省新冠肺炎疫情防控指挥部指挥长应勇再次深入武汉市的养老院、儿童福利院、精神卫生中心等特殊场所检查督导疫情防控工作。（武汉发布）http://t.cn/A67iTMQG 原图 ,无,无,2020-03-01 23:58,微博 weibo.com,6,0,0
IwEnEnJp0,飞行行天下,飞行行天下:#新型冠状病毒# 因戴口罩进入议会被嘲 意大利议员发言时怒摔话筒。意大利一名议员戴着口罩进入议会，然而却因此被嘲。#意大利新冠肺炎疫区#  小央视频的秒拍视频  ,无,无,2020-03-01 23:58,iPhone X,8,0,1
IwEnDunhR,看小情侣恋爱,看小情侣恋爱:#英国新增12名新冠肺炎感染者#@不知名网友居 woc注意啊  ,无,无,2020-03-01 23:58,磕学家的iPhone,0,0,2
IwEnCkort,薇薇安是个谜,薇薇安是个谜:#英国新增12名新冠肺炎感染者#在英国的我慌的一批，刚把存粮吃完明天还要上课，太难了  ,无,无,2020-03-01 23:57,iPhone,5,0,7
IwEnzFhfc,god32823,god32823:关于新冠肺炎的最新判断，一图读懂！ 点击可查看更多 http://t.cn/A67xh58Y  原图 ,无,无,2020-03-01 23:57,学习强国客户端,0,0,0
IwEnyuMXb,诗友说,"诗友说:我提出了问题""世卫背书*中国高效应对全球新冠肺炎疫情，哪些方面让国人民族自信、政治自信、文化自信?"",“中国采取了历史上最勇敢、最灵活、最积极的防控措施。” 在2月2...世卫背书*中国高效应对全球新冠肺炎疫情，哪些方面让国人民族自信、政治自信、文化自信?  [组图共4张] 原图 ",无,无,2020-03-01 23:57,Android客户端,0,0,0
IwEnx43Kw,兰州吃瓜,兰州吃瓜:#兰州爆料##兰州万众一心全民战疫#【兰州石化第一条口罩生产线投产】新冠肺炎疫情发生后，兰州石化主动承担社会责任，立即启动口罩生产线项目。2月29日下午6时，中国石油兰州石化公司防疫口罩成功下线。据悉，这条口罩生产线，从设计到投产，仅用了24天。（@每日甘肃网 ） 详情戳链接→http://t.cn/A67JPxvY [组图共3张] 原图 ,无,无,2020-03-01 23:57,OPPO Find X,0,0,1
IwEnx385M,青海热门旅游攻略,青海热门旅游攻略:【上海实用旅行攻略】小编整理的比较实用的上海旅行+美食攻略，有兴趣的朋友转走吧！ （因新冠肺炎期间，不建议出门旅游）  [组图共9张] 原图 ,无,无,2020-03-01 23:57,微博 weibo.com,1,3,5
IwEnvhg72,日本医疗事情,日本医疗事情:【新冠肺炎全球性扩散-拉响警笛】现阶段，因出现新冠状病毒自意大利向其它14个国家、伊朗向其它11个国家蔓延的状况，从而引起世界的高度瞩目，鉴于此，WHO将全球新冠肺炎扩大风险调至“非常高”一级（危险性评估最高水平）。WHO事物局长称，世界范围内共20多个关联疫苗在研发中，数个治疗临床试验正在实施，数周内将会获得初步结果。#健康##医疗##海外医疗##全国累计确诊40171例新冠肺炎# 原图 ,无,无,2020-03-01 23:57,iPhone X,0,0,0
IwEnuFCb3,蜡笔你个小新l,蜡笔你个小新l:北京公布2例境外输入新冠肺炎确诊病例活动轨迹 http://t.cn/A67JCYai  原图 ,无,无,2020-03-01 23:57,学习强国客户端,0,0,0
IwEnttugF,边骨_,边骨_:#英国新增12名新冠肺炎感染者# 我想回家好害怕啊  ,无,无,2020-03-01 23:57,无,1,0,10
IwEntcPlk,天下第一酷果子,天下第一酷果子:关于新冠肺炎的最新判断，一图读懂！ http://t.cn/A67xh58Y  原图 ,无,无,2020-03-01 23:57,学习强国客户端,0,0,0
IwEnszusQ,文教艺在线,文教艺在线:【深圳公布首例境外输入病例，目前确定密接者93人】3月1日凌晨，深圳市卫生健康委报告1例境外输入新冠肺炎确诊病例。相关情况如下：患者，男，35岁，在英国布里斯托工作。2月27日乘坐CX250航班，由伦敦飞往香港。2月28日13:27抵达香港机场，15:30在香港机场海天码头乘坐渡轮（船次3A109）到蛇口码头，16:32在码头入境时，显示该患者体温正常，16:45从蛇口码头乘出租车回福田区家中。患者全程佩戴口罩。2月29日上午7时，患者出现咳嗽、发热症状。10时由家属驾车送往中山大学附属第八医院发热门诊就诊。21时咽拭子初筛新冠病毒核酸阳性。23时患者由中大八医转至深圳市第三人民医院隔离治疗。3月1日0:40，深圳市疾控中心复核结果为新冠病毒核酸阳性。目前患者病情稳定。深圳市福田区疾控中心接到中大八院报告后，立即开展流行病学调查、密切接触者采样、终末消杀等工作，目前共确定密切接触者93人。据初步了解，患者无湖北旅行史，在英国工作地点有两名同事出现咳嗽发热症状。省卫生健康委已于3月1日凌晨将相关情况通报香港卫生部门。来源：广东省卫生健康委官网 原图 ,无,无,2020-03-01 23:57,道德与法治超话,2,0,0
IwEns0LuQ,搞笑段子大全爆笑图片,搞笑段子大全爆笑图片:韩国确诊556人！首尔民众却大规模集会辱骂市长，要现任总统下台#韩专家称最坏情况是40%国民感染##韩国新增594例新冠肺炎##韩国首次出现患者二次感染##韩国监狱出现首例新冠肺炎# 搞笑欲的微博视频  ,无,无,2020-03-01 23:57,微博云剪,1,0,0
IwEnrET1z,采桑泱泱,采桑泱泱:英国新增12名感染者，为单日最高增幅1日，英国新增12名新冠肺炎感染者，这是英国自发现病例以来单日确诊人数最多的一天。目前英国共确诊新冠肺炎感染者35人。（人民网）  原图 ,无,无,2020-03-01 23:57,HUAWEI P30,0,0,0
IwEnmFBOw,大海6795骑马游览杭州湾跨海大桥,大海6795骑马游览杭州湾跨海大桥:#警民寻人总动员[超话]#大海6795骑马游览杭州湾跨海大桥来投稿发表文章：【#每天处理400桶医疗废物的人# 转！让更多人认识他们！】疫情暴发后，武汉北湖云峰环保科技有限公司临危受命，转型处理新冠肺炎医疗废物。工人们每天处置400桶医疗废物，只能用手倒。当记者问，你知道它有多危险吗。工作人员说：“危险怎么办呢？总要有人干！”致敬！ http://t.cn/A67JQ3Cy 【大海题】 ,无,无,2020-03-01 23:57,警民寻人总动员超话,0,0,0
IwEnm7hH1,奶糖兔叽,奶糖兔叽:#英国新增12名新冠肺炎感染者#重视起来吧真的！！！！  ,无,无,2020-03-01 23:57,一定会过Android,0,0,1
IwEnjpa0R,北方时评,北方时评:白宫的发布会上，专家称对于新冠肺炎，老年人和肥胖人群患病率、致死率更高。站在一旁的川普听得尤其专注：我靠，这不是说我吗！  原图 ,无,无,2020-03-01 23:57,微博国际版,1,1,1
IwEnh61Ar,长春共青团,长春共青团:#防控疫情 我们同行##这次疫情让你看到了什么#【与重症患者口鼻相对 揭秘插管敢死队】在武汉华中科技大学同济医院光谷院区，来自5家医院的18位麻醉医生在此集结，组成了一支混编的“插管敢死队”，为这所医院收治的新冠肺炎重症或危重症患者施治，他们24小时值班待命，他们夜以继日地与死神赛跑，当危重症患者的“守护神”。#长春团团在行动# http://t.cn/A6hknXYg ,无,无,2020-03-01 23:57,iPhone客户端,1,1,0
IwEnfzRgx,吉林人民广播电台,吉林人民广播电台:【#每天处理400桶医疗废物的人# 转！让更多人认识他们！】疫情暴发后，武汉北湖云峰环保科技有限公司临危受命，转型处理新冠肺炎医疗废物。工人们每天处置400桶医疗废物，只能用手倒。当记者问，你知道它有多危险吗。工作人员说：“危险怎么办呢？总要有人干！”致敬！（总台央视记者董倩）  http://t.cn/A67JQ3Cy ,无,无,2020-03-01 23:57,iPhone客户端,1,0,0
IwEnf2ECr,让你逗我笑,让你逗我笑:【每分钟生产1000片！世界最高速口罩机广州投产】新冠肺炎疫情出现以来，口罩的供应成为市民和复工企业关注的问题。2月21日下午，记者来到位于广州市番禺区的兴世机械洁净生产车间，这里的一条超高速全自动化口罩机生产线于日前成功研发并投产，该生产线一分钟能生产1000片，日产能最高可达144万片。（来源：信息时报 ） http://t.cn/A6h3ovTr ,无,无,2020-03-01 23:57,微博 weibo.com,237,35,69
IwEnepV5A,肯馒头,肯馒头:这位20岁出头的武汉姑娘，在特殊时期，被她们那栋楼推举为楼长，负责为该栋的居民购买蔬菜等，属于志愿者，没有任何薪资，前几天，她被一个住户质疑贪了9元的买菜钱，令她特别痛心。不幸的是，她被确诊为新冠肺炎。  [组图共3张] 原图 ,无,无,2020-03-01 23:57,微博 weibo.com,2,0,0
IwEndxy4m,贵州长安网,贵州长安网:【#英国新增12名新冠肺炎感染者#，为单日最高增幅】据人民日报记者强薇，3月1日，英国新增12名新冠肺炎感染者，这是自发现病例以来#英国单日确诊人数最多的一天#。目前#英国累计35人确诊新冠肺炎#。  原图 ,无,无,2020-03-01 23:56,HUAWEI P20,1,0,0
